Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Página do manual
Abacate,1 fatia,90,5,86,49
Abacate (picadinho),1 colher de sopa,45,3,34,49
Abacaxi,1 fatia média,75,10,44,49
Abacaxi em calda,1 fatia média,64,19,78,49
"Abacaxi, polpa, congelada",1 unidade,100,8,31,49
"Abacaxi, suco de com acucar",1 copo duplo cheio,240,25,103,49
Abadejo assado,1 filé médio,100,0,112,49
Abará,1 unidade média,170,24,414,49
Abiu cru,1 unidade,100,15,62,49
"Abóbora cabotian, cozida",1 colher de sopa,36,3,14,49
"Abóbora Cabotian, crua",1 colher de sopa,36,4,17,49
Abóbora d’água (picada),1 colher de sopa cheia,36,0,10,49
Abóbora doce (picada),1 colher de sopa cheia,36,4,18,49
Abóbora moranga (picada),1 colher de sopa cheia,36,1,7,49
Abobrinha recheada,1 unidade,100,6,89,49
"Abobrinha, italiana, cozida",1 colher de sopa,20,0,3,49
"Abobrinha, italiana, crua",1 colher de sopa,20,1,4,49
"Abobrinha, paulista, crua",1 colher de sopa,20,2,6,49
Abricó-do-pará,1 fatia média,100,13,64,49
Açafrão em pó,1 colher de sopa cheia,16,12,54,49
Açaí (polpa concentrada com farinha de mandioca),1 copo pequeno,150,85,339,49
Açaí (polpa concentrada com farinha de tapioca),1 copo pequeno,150,85,340,49
Açaí (polpa natural concentrada),1 copo pequeno,150,55,220,49
Açaí (polpa) com xarope de guaraná e glicose,1 taça pequena,100,21,110,49
Açai natural Frooty ®,1 bola,60,13,64,49
Açaí natural Frooty zero ®,1 bola,60,10,35,49
Açaí polpa congelada (sem adição de açúcar),1 unidade,100,6,58,50
"Açaí, suco de",1 copo duplo cheio,240,72,438,50
Acarajé,1 unidade média,100,22,282,50
Acelga (picada),1 colher de sopa cheia,6,0,2,50
Acém magro cozido,1 pedaço médio,100,0,215,50
Acerola,1 unidade,12,1,4,50
Achocolatado Diet Gold ®,1 colher de sopa,5,3,11,50
Achocolatado Diet Linea ®,1 colher de sopa,5,3,14,50
Achocolatado light Nescau ®,1 colher de sopa,10,8,35,50
Achocolatado light Toddy ®,1 colher de sopa,10,8,36,50
Achocolatado tradicional Nescau ®,1 colher de sopa,10,9,37,50
Achocolatado tradicional Toddy ®,1 colher de sopa,10,9,40,50
Açúcar branco refinado,1 colher de sopa cheia,30,30,116,50
Açúcar cristal,1 colher de sopa cheia,24,24,96,50
Açúcar de coco,1 colher de chá,5,5,19,50
Açúcar mascavo,1 colher de sopa cheia,19,17,70,50
Adoçante Linea Forno e Fogão,1 colher de sopa,1,1,4,50
Adoçante Tal e Qual forno e fogão,1 colher de sopa,2,2,8,50
Adoçante Use Metade Forno e Fogão,1 colher de sopa,10,9,37,50
Agrião (picado),1 colher de sopa cheia,7,0,2,50
Agriao refogado,1 colher de sopa cheia,25,1,19,50
Água de coco industrializada Sococo ®,1 copo,200,11,44,50
Água de coco verde,1 copo,200,11,44,50
Água tônica Antarctica ®,1 lata,350,17,73,51
Água tônica zero Antarctica ®,1 lata,350,0,0,51
Aguardente,1 dose,50,0,109,51
Aipim cozido (macaxeira ou mandioca),pedaço grande,100,30,120,51
Aipim frito (macaxeira ou mandioca),pedaço grande,100,50,304,51
Aipo inteiro (picado),1 colher de sopa cheia,10,0,2,51
Alcachofra cozida,1 pedaco médio,90,11,45,51
Alcaparra,1 colher de sopa cheia,27,1,10,51
Alface americana crua,1 folha média,10,0,1,51
Alface crespa crua,1 folha média,10,0,1,51
Alface lisa crua,1 folha média,10,0,1,51
Alface roxa crua,1 folha média,10,0,1,51
Alfajor ao leite Cacau Show ®,1 unidade,40,23,120,51
Alfajor recheado com doce de leite Brasil Cacau ®,1 unidade,25,15,98,51
Alfarroba em pó Carob House ®,1 colher de sopa,20,13,58,51
Alfavaca crua,1 folha média,10,0,3,51
Algodão Doce,1 unidade,30,30,116,51
Algodão doce (Mavalério),1 embalagem,35,35,140,51
Algodão doce tuti - frutti Snow Sugar ®,1/2 xícara de chá,5,5,20,51
Algodão doce uva Snow Sugar ®,1/2 xícara de chá,5,5,20,51
Alho cru,2 dentes,6,2,8,51
Alho poró cru,1 porcao pequena,20,3,11,51
All bran,1 colher de sopa cheia,9,4,23,51
Almeirão cru (picado),1 colher de sopa cheia,10,0,0,52
Almôndega bovina,1 unidade média,50,4,102,52
Ambrosia,2 colheres de sopa cheias,80,23,137,52
Ameixa de queijo,1 unidade,12,7,36,52
Ameixa preta em calda,1 unidade média,7,5,20,52
Ameixa preta fresca,1 unidade media,42,4,18,52
Ameixa preta seca,1 unidade média,5,2,9,52
Ameixa vermelha,1 unidade media,5,2,9,52
"Ameixa, passa de",1 colher de sopa cheia,15,10,44,52
Amêndoa,1 unidade média,3,1,13,52
Amendoim caramelizado,1 pacote pequeno,20,14,95,52
Amendoim cozido,2 colheres de sopa,34,7,108,52
Amendoim torrado salgado,2 colheres de sopa,34,5,194,52
"Amendoim, grão cru",2 colheres de sopa,34,5,194,52
Amido de arroz,1 colher de sopa cheia,20,17,70,52
Amido de milho,1 colher de sopa cheia,20,17,69,52
"Amora (branca, preta e vermelha)",1 unidade média,8,1,5,52
"Amora, geléia de (com açúcar)",1 colher de sopa cheia,40,23,93,52
"Amora, geléia de (Linea ®)",1 colher de sopa,20,8,23,52
Angu,1 colher de sopa cheia,35,9,44,52
Antepasto abobrinha escabeche,1 colher de sopa cheia,30,4,57,52
Antepasto alichella,1 colher de sopa cheia,30,1,106,52
Antepasto berinjela,1 colher de sopa cheia,30,4,88,52
Antepasto sardella,1 colher de sopa cheia,30,5,160,53
Apfelstrudell (folheado de maçã),1 porção grande,220,59,396,53
Apresuntado,1 fatia média,15,0,69,53
Araçá,1 colher de sopa cheia,20,3,12,53
Arroz à grega,1 colher de sopa cheia,25,7,35,53
Arroz à grega,1 colher de servir,60,18,75,53
Arroz a piamontese,1 colher de servir cheia,55,11,100,53
Arroz branco cozido,1 colher de servir arroz,45,15,74,53
Arroz branco cozido,1 colher de sopa cheia,20,6,26,53
Arroz carreteiro,1 colher de servir,45,5,70,53
Arroz com amendoas,1 colher de servir,60,18,75,53
Arroz com galinha,1 colher de sopa cheia,25,6,45,53
Arroz com lentilha,1 colher de servir cheia,55,11,80,53
Arroz com lingüiça,1 colher de servir cheia,55,11,92,53
Arroz com pequi,1 colher de servir cheia,55,13,95,53
Arroz de aveia Quaker®,1 colher de sopa,10,7,38,53
Arroz de Cabidela (ao molho pardo),! Coher de servir cheia,55,7,85,53
Arroz de cuxá,1 colher de servir cheia,55,11,66,53
Arroz doce com açúcar,1 colher de sopa cheia,40,13,66,53
Arroz integral cozido,1 colher de sopa cheia,20,5,25,53
Arroz Negro cozido,1 colher de sopa cheia,25,8,40,54
Arroz para sushi com açúcar e sal,1 colher de sopa rasa,25,7,35,54
Arroz selvagem,1 colher de servir cheia,55,12,55,54
Arroz sírio,1 colher de servir,45,13,69,54
"Arroz, farinha de",1 colher de sopa cheia,17,14,62,54
"Arroz, flocos de",1 colher de sopa cheia,14,11,49,54
Aspargo em conserva,1 unidade média,7,0,2,54
