food,measure,g_or_ml,carbs_g,calories_kcal
Couve-flor cozida,1 ramo médio,60,2,11
Couve-flor cozida,1 colher de sopa,25,1,5
Coxa de frango assada,1 unidade grande,55,0,118
Coxinha de frango (salgado),1 unidade grande,110,38,311
Coxinha de frango (salgado),1 unidade média,50,17,141
Coxinha de frango (salgado),1 unidade pequena,20,7,57
Cream Cheese,1 colher de sopa,30,1,70
Cream Cheese light,1 colher de sopa,30,1,58
Creme de abacate sem açúcar,1 colher sopa cheia,25,3,43
Creme de amendoim,1 colher de sopa rasa,15,3,91
Creme de leite,1 colher de servir,30,1,66
Creme de leite light Nestlé®,1 colher de servir,30,1,48
Creme de milho,1 colher de sopa cheia,33,5,35
Creme vegetal de chantilly Vigor®,1 colher de sopa,20,2,55
Cremogema tradicional®,1 colher de sopa,10,9,36
Crepe de banana com chocolate,1 unidade grande,100,32,250
Crepe de presunto e queijo,1 unidade grande,100,13,229
Croissant,1 unidade grande,67,32,277
Croissant,1 unidade média,40,19,165
Croissant de chocolate,1 unidade grande,67,28,279
Croissant de queijo,1 unidade grande,67,32,277
Croquete de Carne frito,1 unidade grande,55,10,191
Croquete de Carne frito,1 unidade média,25,5,87
Croquete de Carne frito,1 unidade pequena,10,2,35
Croquete de milho,1 unidade média,22,10,77
Croquete de milho,1 unidade pequena,10,4,35
Cuba Libre,1 coquetel,210,15,152
Cuca alemã,1 fatia média,60,30,200
Cup noodles®,1 unidade comercial,69,39,302
Cupuaçu (polpa),1 colher de sopa cheia,20,2,10
Curau de milho,2/3 xícara de chá,140,19,109
Curry,1 colher de sopa,9,5,35
Cuscuz de milho com sal,1 pedaço médio,135,34,152
Cuscuz de milho com sal,1 pedaço pequeno,85,21,96
Cuscuz de tapioca,1 pedaço médio,120,65,298
Cuscuz de tapioca,1 pedaço pequeno,60,33,149
Cuscuz paulista,1 pedaço médio,150,34,213
Cuscuz paulista,1 colher de sopa,35,8,50
Damasco seco,1 unidade,7,4,18
"Damasco, geléia Queensberry®",1 colher de sopa,20,14,58
Danette®,1 unidade,90,15,116
Danette® chocolate branco,1 unidade,90,19,121
Danoninho®,1 potinho,40,5,39
Danoninho®,1 sachê / embalagem,70,8,69
Diet Shake® Tradicional morango,1 colher medida,12,8,35
Dobradinha,1 colher de servir cheia,70,0,87
Dobradinha com feijão branco,1 colher de servir cheia,70,6,78
Doce de abacaxi Ritter®,1 colher de sopa,20,10,41
Doce de abóbora cremoso,1 colher de sopa,40,29,162
Doce de abóbora e coco,1 colher de sopa,40,21,97
Doce de arroz de leite,1 colher de sopa cheia,40,13,68
Doce de banana em barra,1 fatia pequena,30,23,84
Doce de batata doce,1 fatia pequena,30,22,121
Doce de buriti,1 colher de sopa cheia,50,35,152
Doce de cidra,1 colher de sopa,50,20,81
Doce de coco,1 colher de sopa cheia,50,29,234
Doce de cupuaçu,1 colher de sopa,40,29,112
Doce de goiaba,1 colher de sopa,20,16,57
Doce de goiaba diet Flormel®,1 colher de sopa,20,10,39
Doce de goiaba em calda sem açúcar Diet House®,1 colher de sopa,20,6,24
Doce de laranja em calda,1 pedaço médio,57,48,196
Doce de laranja sem açúcar Diet House®,1 colher de sopa,20,3,12
Doce de leite,1 colher de sopa cheia,40,24,122
Doce de leite,1 colher de sobremesa,25,15,76
Doce de leite zero açúcar Flormel®,1 colher de sopa,20,9,46
Doce de mamão verde,1 colher de sopa,40,23,84
Doce de manga,1 colher de sopa cheia,50,27,140
Docinhos variados (média),1 unidade média,30,16,125
Donuts,1 unidade média,70,33,245
Doritos (Elma Chips®),1 xícara,17,9,80
Double barbecue Cheese (Bob’s®),1 unidade,0,36,401
Double cheddar (Habib’s®),1 unidade,315,32,593
Double cheddar frango (Bob’s®),1 unidade,0,29,335
Double cheeseburguer (Bob’s®),1 unidade,0,25,399
Drops comum,1 unidade,3,3,11
Eclair (bomba de chocolate),1 unidade pequena,30,4,47
Eclair (bomba de chocolate),1 unidade média,50,7,79
Eclair (bomba de chocolate),1 unidade grande,80,10,126
Edamame cozido,1 colher de sopa cheia,20,2,23
Edamame cozido,1 colher de sopa rasa,15,2,17
"Eggs Benedict (prato à base de ovos, bacon, pão, molho holandês)",1 porção grande,155,13,428
"Eggs Benedict (prato à base de ovos, bacon, pão, molho holandês)",1 porção média,149,13,411
Empada de camarão,1 porção média,55,12,116
Empada de camarão,1 porção pequena (de festa),12,3,26
Empada de frango,1 unidade média,55,26,197
Empada de frango,1 unidade grande,70,33,251
Empada de frango,1 unidade pequena,12,6,43
Empada de palmito,1 unidade média,55,14,129
Empada de palmito,1 unidade pequena,12,3,16
Empada de palmito,1 unidade grande,95,24,223
Empada de queijo,1 porção média,25,5,80
Empada de queijo,1 porção grande,67,14,215
Empadão goiano,1 pedaço médio,300,48,618
Empadinha,1 unidade pequena (de festa),12,4,56
Empanada de carne tradicional,1 unidade média,90,20,263
"Enchilada com carne, feijões e queijo",1 porção média,129,23,231
Enchilada de frango e queijo com molho de tomate,1 porção média,126,19,234
Enchilada de queijo,1 unidade média,163,29,319
Energético Assault Monster Energy®,1 copo,200,21,84
Energético Baly® maçã verde,1 lata,250,25,98
Energético Baly® maçã verde,1 lata grande,750,75,294
Energético Baly® maçã verde,1 copo,200,20,78
Energético Baly® maçã verde sem açúcar,1 lata,250,0,4
Energético Baly® maçã verde sem açúcar,1 lata grande,750,0,11
Energético Baly® maçã verde sem açúcar,1 copo,200,0,3
Energético Baly® melancia,1 lata,250,25,98
Energético Baly® melancia,1 lata grande,750,75,294
Energético Baly® melancia,1 copo,200,20,78
Energético Baly® melancia sem açúcar,1 lata,250,0,4
Energético Baly® melancia sem açúcar,1 lata grande,750,0,11
Energético Baly® melancia sem açúcar,1 copo,200,0,3
Energético Baly® Tradicional,1 lata,250,25,98
Energético Baly® Tradicional,1 lata grande,750,75,294
Energético Baly® Tradicional,1 copo,200,20,78
Energético Baly® Tradicional sem açúcar,1 lata,250,0,4
Energético Baly® Tradicional sem açúcar,1 lata grande,750,0,11
Energético Baly® Tradicional sem açúcar,1 copo,200,0,3
Energético Baly® Tropical sem açúcar,1 lata,250,0,4
Energético Baly® Tropical sem açúcar,1 lata grande,750,0,11
Energético Baly® Tropical sem açúcar,1 copo,200,0,3
Energético Burn®,1 lata,260,31,127
Energético Dragon Ice Monster Energy®,1 copo,200,4,14
Energético Energy Drink TNT®,1 lata,269,30,123
Energético Energy Focus Pink Lemonade TNT®,1 lata,269,1,8
Energético Flyng Horse®,1 lata,270,32,130
Energético Mango Loco Monster Energy®,1 copo,200,26,100
Energético Monster Energy® Ultra,1 copo,200,2.3,6
Energético Monster® pipeline punch,1 lata,473,43,166
Energético Psyco Drink Midway®,1 lata,250,28,113
Energético Red Bull®,1 lata,250,28,113
Energético Reign® (sabores),1 lata,473,0,0
Energético Ultra Violet Monster Energy®,1 copo,200,4,16
Energético zero açúcar Monster Energy® ultra,1 lata,475,7,19
Energético zero açúcar Pow Sour Pink Lemonade®,1 lata,310,11,44
Energético zero açúcar Red Bull®,1 lata,250,0,6.7
Energético zero açúcar sabor mango Chilli Beans®,1 lata,310,0,0
Enrolado de presunto e queijo,1 unidade média,40,15,114
Enrolado de salsicha,1 unidade média,27,3,79
Enrolado de salsicha,1 unidade pequena (de festa),15,2,44
Ensure em pó (sabores),1 colher medida,10,1,40
Ensure plus (sabores),1 porção (tetra pack),200,40,300
Ensure plus advance,1 garrafinha,220,38,330
Ensure protein,1 garrafinha,220,36,275
"Eqlibri® (minicrackers, original e sabores)",1 pacote,22,17,100
"Eqlibri® (panetinini, sabores)",1 embalagem,40,25,175
Eqlibri® (torradas),1 pacotinho individual,50,29,193
Eritritol (possui carboidratos não absorvíveis),1 colher de sobremesa,11,11,2
